MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Monday, December 26, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 06, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 13, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 20, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, September 27, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 04, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 11, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 18, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, October 25, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, November 01, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, November 08, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, November 15, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, November 22, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, November 29, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, December 06, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, December 13, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, December 20, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Tuesday, December 27, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, September 07, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, September 14, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, September 21, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, September 28, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, October 05, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, October 12, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, October 19, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, October 26, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, November 02, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, November 09, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, November 16, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, November 23, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, November 30, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, December 07, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, December 14, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, December 21, 2016",TRUE,1:30:00
MindfulNYU: Yoga,"Mondays, Tuesdays, Wednesdays",5:30 PM,GCASL,"Wednesday, December 28, 2016",TRUE,1:30:00
MindfulNYU: Meditation,Mondays,7:00 PM,GCASL,"Monday, September 05, 2016",TRUE,1:15:00
